AAPL,,,MSFT,,,NVDA,,,HD,,,COST,
Date,Close,,Date,Close,,Date,Close,,Date,Close,,Date,Close
4/10/2025 16:00,190.42,,4/10/2025 16:00,381.35,,4/10/2025 16:00,107.57,,4/10/2025 16:00,353.62,,4/10/2025 16:00,964.31
4/11/2025 16:00,198.15,,4/11/2025 16:00,388.45,,4/11/2025 16:00,110.93,,4/11/2025 16:00,353.86,,4/11/2025 16:00,963.41
4/14/2025 16:00,202.52,,4/14/2025 16:00,387.81,,4/14/2025 16:00,110.71,,4/14/2025 16:00,357.2,,4/14/2025 16:00,979.32
4/15/2025 16:00,202.14,,4/15/2025 16:00,385.73,,4/15/2025 16:00,112.2,,4/15/2025 16:00,354.11,,4/15/2025 16:00,976.92
4/16/2025 16:00,194.27,,4/16/2025 16:00,371.61,,4/16/2025 16:00,104.49,,4/16/2025 16:00,345.99,,4/16/2025 16:00,967.75
4/17/2025 16:00,196.98,,4/17/2025 16:00,367.78,,4/17/2025 16:00,101.49,,4/17/2025 16:00,355.06,,4/17/2025 16:00,994.5
4/21/2025 16:00,193.16,,4/21/2025 16:00,359.12,,4/21/2025 16:00,96.91,,4/21/2025 16:00,346.9,,4/21/2025 16:00,957.77
4/22/2025 16:00,199.74,,4/22/2025 16:00,366.82,,4/22/2025 16:00,98.89,,4/22/2025 16:00,354.43,,4/22/2025 16:00,979.23
4/23/2025 16:00,204.6,,4/23/2025 16:00,374.39,,4/23/2025 16:00,102.71,,4/23/2025 16:00,356.42,,4/23/2025 16:00,975.84
4/24/2025 16:00,208.37,,4/24/2025 16:00,387.3,,4/24/2025 16:00,106.43,,4/24/2025 16:00,359.64,,4/24/2025 16:00,975.48
4/25/2025 16:00,209.28,,4/25/2025 16:00,391.85,,4/25/2025 16:00,111.01,,4/25/2025 16:00,357.58,,4/25/2025 16:00,977.16
4/28/2025 16:00,210.14,,4/28/2025 16:00,391.16,,4/28/2025 16:00,108.73,,4/28/2025 16:00,356.92,,4/28/2025 16:00,978.54
4/29/2025 16:00,211.21,,4/29/2025 16:00,394.04,,4/29/2025 16:00,109.02,,4/29/2025 16:00,359,,4/29/2025 16:00,991.7
4/30/2025 16:00,212.5,,4/30/2025 16:00,395.26,,4/30/2025 16:00,108.92,,4/30/2025 16:00,360.49,,4/30/2025 16:00,994.5
5/1/2025 16:00,213.32,,5/1/2025 16:00,425.4,,5/1/2025 16:00,111.61,,5/1/2025 16:00,358.3,,5/1/2025 16:00,999.04
5/2/2025 16:00,205.35,,5/2/2025 16:00,435.28,,5/2/2025 16:00,114.5,,5/2/2025 16:00,364.52,,5/2/2025 16:00,1008.3
5/5/2025 16:00,198.89,,5/5/2025 16:00,436.17,,5/5/2025 16:00,113.82,,5/5/2025 16:00,361.73,,5/5/2025 16:00,1014.89
5/6/2025 16:00,198.51,,5/6/2025 16:00,433.31,,5/6/2025 16:00,113.54,,5/6/2025 16:00,359.38,,5/6/2025 16:00,1010.5
5/7/2025 16:00,196.25,,5/7/2025 16:00,433.35,,5/7/2025 16:00,117.06,,5/7/2025 16:00,362.75,,5/7/2025 16:00,1007.15
5/8/2025 16:00,197.49,,5/8/2025 16:00,438.17,,5/8/2025 16:00,117.37,,5/8/2025 16:00,364.86,,5/8/2025 16:00,1007.71
5/9/2025 16:00,198.53,,5/9/2025 16:00,438.73,,5/9/2025 16:00,116.65,,5/9/2025 16:00,362.71,,5/9/2025 16:00,1008.09
